"","logFC","logCPM","PValue","FDR"
"YNL125C",-0.822715980517499,6.64427317131502,6.1418584771865e-09,8.65270871655061e-08
"YIL056W",1.16189328905346,6.78364072951764,6.31081702555965e-09,8.86962098342908e-08
"YKL096W",0.662296540258465,8.15096991721745,6.74709024731907e-09,9.46031587521017e-08
"YIR027C",-2.0767055381615,3.60897955471302,6.82927490745303e-09,9.55291244146562e-08
"YLR027C",-0.566271869876408,8.96499509312681,7.18392101631428e-09,1.00252973239461e-07
"YIL055C",-0.943232366025416,5.58908090071009,7.30319078268446e-09,1.0167759967328e-07
"YPR079W",-0.880328192266019,6.0007681756199,7.46491271437393e-09,1.03685184344954e-07
"YKL142W",-0.623082420999579,7.37705254268805,7.63766989661619e-09,1.0583628285311e-07
"YDR510W",-0.593798323357449,7.52729192933442,8.22563800168406e-09,1.13717523495244e-07
"YLR314C",-0.587169829734044,8.11517535011259,8.52230501176094e-09,1.17544239521188e-07
"YJL155C",-0.730928778899172,6.83743532865211,8.67993380805805e-09,1.19439926377394e-07
"YGL252C",-0.657578021654346,7.77191234062691,8.910963532673e-09,1.22334503997276e-07
